word,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(ฟัง - VERB),0.16868562527100117,-0.043212125973546685,0.1254734992974545,pos
(จักรยาน - VERB),0.1283269195578053,-0.004516985488439435,0.12380993406936588,pos
(เขียง - ADV),0,-0.12374381528788368,-0.12374381528788368,neg
(คู่สมรส - VERB),0.031138149598585112,-0.1536818351155975,-0.12254368551701238,neg
(บ่าย - VERB),0.1221573561175262,0,0.1221573561175262,pos
(ป้าย - VERB),0,-0.1221573561175262,-0.1221573561175262,neg
(บรรยาย - VERB),0,-0.1221573561175262,-0.1221573561175262,neg
(พีพี - VERB),0.12704365036222726,-0.0067901469995845665,0.12025350336264269,pos
(แจ้ง - VERB),0,-0.11763300959465486,-0.11763300959465486,neg
(นี - VERB),0.1173494393221102,0,0.1173494393221102,pos
(ฟิจิ - ADV),0,-0.11549422760202477,-0.11549422760202477,neg
(เช็ค - VERB),0.1221573561175262,-0.0069957957247922505,0.11516156039273395,pos
(ทน - ADV),0,-0.11343183068056004,-0.11343183068056004,neg
(เปลื้องผ้า - VERB),0,-0.11343183068056004,-0.11343183068056004,neg
(คับคั่ง - VERB),0.010155367734790349,-0.1221573561175262,-0.11200198838273585,neg
(รถเข็น - VERB),0,-0.11144179856335723,-0.11144179856335723,neg
(ลูก - ADV),0,-0.11057927936121924,-0.11057927936121924,neg
(เก้าอี้พับ - VERB),0.10952038824329935,0,0.10952038824329935,pos
(แผงลอย - ADV),0.10952038824329935,0,0.10952038824329935,pos
(ไวย์ - ADV),0,-0.10952038824329935,-0.10952038824329935,neg
(เร่ - VERB),0.010604645272306115,-0.11985250034172382,-0.1092478550694177,neg
(ควาย - VERB),0,-0.10648375049598889,-0.10648375049598889,neg
(รองเท้าแตะ - VERB),0,-0.10648375049598889,-0.10648375049598889,neg
(สม่ำเสมอ - VERB),0,-0.10648375049598889,-0.10648375049598889,neg
(บาหลี - VERB),0.10586970863518938,0,0.10586970863518938,pos
